id,thoroughfare_id,cenu2016_ettlement_geogid,census2016_small_area_geogid,local_authority_id,post_county_name,eircode_area_code,postal_address,new_home_ind,sold_date,sold_price,lat,lon,building_property_subtype_code,building_shape_area_value,sqm_value,yoc_value,storey_value,beds_value,baths_value,house_number,road,city_district,city,district,county,state_district,postcode,country,country_code,locality,village,municipality,suburb,town,residential,craft,amenity,building,commercial,neighbourhood,place,region,tourism,quarter,shop,leisure,historic,office
432259,1200015895,35001.0,A268003007,29,dublin,D07,apartment 183 the spinnaker arran quay dublin 7 d07 nf40,0,24/08/2015,165000,53.346098,-6.2768559999999995,multi-family,,,1993.0,1.0,1.0,,11,Arran Quay,Arran Quay C ED,Dublin,Dublin 7,County Dublin,Leinster,D07 HK38,Ireland,ie,,,,,,,,,,,,,,,,,,,
679044,1200045364,4009.0,A267111010,27,dublin,D13,3 the green station manor dublin 13 d13 v1dv,1,20/11/2018,547577,53.419113,-6.149744,mid-terrace,66.594153,,2017.0,,,,,,Malahide ED,,,County Dublin,Leinster,D13 YV05,Ireland,ie,Portmarnock,Portmarnock,Fingal,,,,,,,,,,,,,,,,
1322973,1200010380,35001.0,A267024001,28,dublin,A94,1 rockford terrace deansgrange road deansgrange blackrock co. dublin a94 f7p2,0,21/06/2016,443750,53.288762,-6.16817,mid-terrace,69.189807,,,,,,1,Deansgrange Road,Blackrock-Newpark ED,,,County Dublin,Leinster,A94 PC95,Ireland,ie,,,Dún Laoghaire-Rathdown,Newtown Castlebyrn,Blackrock,,,,,,,,,,,,,,
28508,1200000258,35001.0,A267017013,28,dublin,A94,59 the beeches monkstown valley monkstown blackrock co. dublin a94 n7t3,0,20/07/2018,417000,53.291416000000005,-6.160378,semi-dend-terraceached,,,,,,,58,The Beeches,Blackrock-Monkstown ED,,,County Dublin,Leinster,A94 PC95,Ireland,ie,Monkstown,,Dún Laoghaire-Rathdown,,Blackrock,Monkstown Valley,,,,,,,,,,,,,
148784,1200007329,35001.0,A268149001,29,dublin,D08,flat 1 41 victoria quay dublin 8 d08 nf2w,0,20/06/2018,250000,53.346391000000004,-6.284521,multi-family,,,,1.0,,,,St John's Road West,Ushers B ED,Dublin,Dublin 8,County Dublin,Leinster,D08 W2A8,Ireland,ie,,,,,,,Guinness Brewery,,,,,,,,,,,,
735717,1200010633,35001.0,A267095026,27,dublin,D13,4 thormanby woods howth co. dublin d13 t261,0,22/10/2013,665000,53.376755,-6.0582199999999995,bungalow,193.730168,208.6,1989.0,2.0,4.0,2.0,,Thormanby Woods,Howth ED,,Dublin 13,County Dublin,Leinster,D13 YA32,Ireland,ie,Howth,,Fingal,,,,,,,,,,,,,,,,
508706,1200013383,35001.0,A268005003,29,dublin,D07,16a arbour hill dublin 7 d07 p798,0,09/11/2018,370000,53.350025,-6.283343,end-terrace,43.828790999999995,69.84,1990.0,2.0,3.0,1.0,,Arbour Hill,Arran Quay C ED,Dublin,Dublin 7,County Dublin,Leinster,D07 E98Y,Ireland,ie,,,,,,,,Sorrento,,,,,,,,,,,
1610739,1200003654,35001.0,A268138012,29,dublin,D01,apartment 41 block b the courtyard hill street dublin 1 d01 kd56,0,09/06/2016,250000,53.354321999999996,-6.259168,multi-family,,,2005.0,1.0,,,,Hill Street,Rotunda A ED,Dublin,Dublin 1,County Dublin,Leinster,D01KT62,Ireland,ie,,,,,,,,,The Courtyard,,,,,,,,,,
61576,1200038124,35001.0,A268098006,29,dublin,D08,apartment 20 friary close cook street dublin 8 d08 w7w2,0,15/05/2018,325000,53.344623999999996,-6.273701,multi-family,,72.6,1990.0,2.0,3.0,,5,Merchant's Quay,Merchants Quay A ED,Dublin,Dublin 8,County Dublin,Leinster,D08 K3KD,Ireland,ie,,,,,,,,Church of the Immaculate Conception (Adam & Eve),,,,,,,,,,,
99670,1200013386,35001.0,A268082004,29,dublin,D07,apartment 16 the old distillery anne street north dublin 7 d07 hf85,0,13/03/2019,290000,53.349628,-6.273406,multi-family,,,2000.0,1.0,,,35,Beresford Street,Inns Quay C ED,Dublin,Dublin 7,County Dublin,Leinster,D07 RR82,Ireland,ie,,,,,,,,,,,,,,,,,,,
